ORG_INFO_COMPANY_CODE,YOUR_EEID,COUNTRY_NAME,IND_NAME,POS_CODE,YOUR_CODE,YOUR_TITLE,YOUR_GRADE,EMP_ROLE,SUP_ID,ORG_CODE,EMP_TYPE,EMP_CLASS,TIME_W,BASE_SALARY,CURR_CODE,NUM_MONTHS,STIELIG,BONTGT
Company A,120072425,Taiwan,Computer/Hardware Systems,AAAS2,00450M,Assistant I,M03,Internal,16231611,GOM,Regular,,100%,826662,TWD,13.5,Y,26453
Company A,120166685,India,Computer/Hardware Systems,AAAS2,00450M,Assistant I,M11,Internal,15498673,CME,Regular,,100%,736596.47,INR,12,Y,25270
Company A,120183185,Saudi Arabia,Computer/Hardware Systems,AAAS2,00450M,Assistant I,M02,Internal,1046465,LEGO,Regular,,100%,77664,SAR,12,Y,2485
Company A,43853165,South Korea,Professional Services/Outsourcing Solutions,AAAS3,00450O,Assistant III,MX2,Internal,761509,PNT,Regular,,100%,41943600,KRW,12,Y,1342195
Company A,120121759,South Korea,Computer/Hardware Systems,AAAS3,00450O,Assistant III,MX2,Internal,761331,GOM,Regular,,100%,40358400,KRW,12,Y,1291469
Company A,120012937,Japan,Computer/Hardware Systems,AAAS3,00450O,Assistant III,M04,Internal,790591,LEGO,Regular,,100%,4948956,JPY,18,Y,158367
Company A,120278753,Japan,Networking,AAAS3,00450O,Assistant III,M04,Internal,70008079,EDG,Regular,,100%,4831360,JPY,18,Y,154604
Company A,43095213,Taiwan,Computer/Hardware Systems,AAAS3,00450O,Assistant III,M04,Internal,1131267,GOM,Regular,,100%,908021,TWD,13.5,Y,29057
Company A,120085797,India,Computer/Hardware Systems,AAAS3,00450O,Assistant III,M14,Internal,15463429,GOM,Regular,,100%,880416.44,INR,12,Y,30204
Company A,43387349,Taiwan,Professional Services/Outsourcing Solutions,AAAS3,00450O,Assistant III,M04,Internal,419347,PNT,Regular,,100%,833816,TWD,13.5,Y,26682
Company A,120282203,India,Computer/Hardware Systems,AAAS3,00450O,Assistant III,M14,Internal,20816309,GOM,Regular,,100%,771552.95,INR,12,Y,26470
Company A,120296321,India,Computer/Hardware Systems,AAAS3,00450O,Assistant III,M14,Internal,1128991,GIT,Regular,,100%,689496.19,INR,12,Y,23654
Company A,120296533,India,Professional Services/Outsourcing Solutions,AAAS3,00450O,Assistant III,M14,Internal,1025419,PNT,Regular,,100%,657714.73,INR,12,Y,22564
Company A,1050345,Hong Kong,Professional Services/Outsourcing Solutions,AAAS3,00450O,Assistant III,M08,Internal,758227,PNT,Regular,,100%,275861,HKD,13,Y,8828
Company A,120082641,South Africa,Professional Services/Outsourcing Solutions,AAAS3,00450O,Assistant III,M05,Internal,249407,GRLK,Regular,,100%,255934,ZAR,12,Y,8190
Company A,120266185,China,Networking,AAAS3,00450O,Assistant III,M07,Internal,43094937,EDG,Regular,,100%,134292,CNY,14,Y,4297
Company A,43642251,China,Computer/Hardware Systems,AAAS3,00450O,Assistant III,M07,Internal,40696671,CME,Regular,,100%,104895,CNY,14,Y,3357
Company A,120282939,United States,Networking,AAAS3,00450O,Assistant III,M22,Internal,70007541,EDG,Regular,US - non-Exempt,100%,78351,USD,12,Y,2507
Company A,70026653,United States,Computer/Hardware Systems,AAAS3,00450O,Assistant III,M22,Internal,70026411,STOR,Regular,US - non-Exempt,100%,71000,USD,12,Y,2272
Company A,70033931,United States,Networking,AAAS3,00450O,Assistant III,M22,Internal,70033615,EDG,Regular,US - non-Exempt,100%,69995,USD,12,Y,2240
